Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Premature Ovarian Failure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Premature Rupture Of Amniotic Membrane,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Premature Ventricular Contractions (Pvcs),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Premenstrual Tension Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Presbyacusis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Presbyopia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Priapism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Primary Immunodeficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Primary Insomnia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Primary Kidney Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Primary Thrombocythemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Prostate Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Prostatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Protein Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pseudohypoparathyroidism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pseudotumor Cerebri,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Psoriasis,Moisturize skin regularly,Avoid triggers like stress and alcohol,Use prescribed topical treatments,Get regular sun exposure in moderation
Psychosexual Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Psychotic Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pterygium,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonary Congestion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonary Embolism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonary Eosinophilia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonary Fibrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonary Hypertension,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pulmonic Valve Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pyelonephritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pyloric Stenosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pyogenic Skin Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Raynaud Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Reactive Arthritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rectal Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Restless Leg Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Retinal Detachment,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Retinopathy Due To High Blood Pressure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rhabdomyolysis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rheumatic Fever,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rheumatoid Arthritis,Take disease-modifying drugs as prescribed,Exercise to maintain joint mobility,Use joint protection techniques,Apply heat/cold to painful joints
Rocky Mountain Spotted Fever,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rosacea,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Rotator Cuff Injury,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Salivary Gland Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sarcoidosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scabies,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scar,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scarlet Fever,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Schizophrenia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sciatica,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scleritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scleroderma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scoliosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Scurvy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sebaceous Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Seborrheic Dermatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Seborrheic Keratosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sensorineural Hearing Loss,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sepsis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Septic Arthritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Shingles (Herpes Zoster),Get the shingles vaccine,Keep the rash clean and covered,Take antiviral medications promptly,Avoid contact with people who haven't had chickenpox
Sialoadenitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sick Sinus Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sickle Cell Anemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sickle Cell Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sinus Bradycardia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sinusitis,Use saline nasal irrigation,Apply warm compresses to face,Take prescribed antibiotics if bacterial,Use decongestants as directed
Sjogren Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Skin Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Skin Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Skin Pigmentation Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Skin Polyp,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Smoking Or Tobacco Addiction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Social Phobia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Soft Tissue Sarcoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Somatization Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spermatocele,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spherocytosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spina Bifida,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spinal Muscular Atrophy (SMA),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spinal Stenosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spinocerebellar Ataxia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spondylitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spondylolisthesis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spondylosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Spontaneous Abortion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sporotrichosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Sprain Or Strain,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Stenosis Of The Tear Duct,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Stomach Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Strep Throat,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Stress Incontinence,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Stricture Of The Esophagus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Stroke,Seek emergency medical care immediately,"Know the FAST signs (Face, Arms, Speech, Time)",Control blood pressure and cholesterol,Avoid smoking and alcohol
Stye (Hordeolum),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Subacute Thyroiditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Subarachnoid Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Subconjunctival Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Subdural Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Substance-Related Mental Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Syndrome Of Inappropriate Secretion Of Adh (Siadh),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Syphilis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Syringomyelia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Systemic Lupus Erythematosus (SLE),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Teething Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Temporomandibular Joint Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tendinitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tension Headache,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Testicular Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Testicular Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Testicular Torsion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thalassemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thoracic Aortic Aneurysm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thoracic Outlet Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Threatened Pregnancy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thrombocytopenia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thrombophlebitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thyroid Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thyroid Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Thyroid Nodule,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tic (Movement) Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tietze Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tinnitus Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tonsillar Hypertrophy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tonsillitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tooth Abscess,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tooth Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Torticollis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tourette Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Toxic Multinodular Goiter,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Toxoplasmosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tracheitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Transient Ischemic Attack,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Trichiasis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Trichinosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Trichomonas Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tricuspid Valve Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Trigeminal Neuralgia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Trigger Finger (Finger Disorder),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Tuberculosis (TB),Complete full 6-month antibiotic course,Wear mask in public until non-infectious,Ensure home ventilation,Inform close contacts for testing
Tuberous Sclerosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Turner Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Typhoid Fever,Drink only treated/boiled water,Wash hands thoroughly,Avoid raw food from street vendors,Get typhoid vaccination
Ulcerative Colitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urethral Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urethral Stricture,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urethral Valves,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urethritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urge Incontinence,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Urinary Tract Infection (UTI),Drink plenty of water,Complete the full antibiotic course,Urinate after sexual activity,Avoid irritants like caffeine
Urinary Tract Obstruction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Uterine Atony,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Uterine Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Uterine Fibroids,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Uveitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vacterl Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vaginal Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vaginal Yeast Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vaginismus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vaginitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Valley Fever,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Varicocele Of The Testicles,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Varicose Veins,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vasculitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Venous Insufficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vertebrobasilar Insufficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vertigo (BPPV),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vesicoureteral Reflux,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Viral Exanthem,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Viral Hepatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Viral Warts,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vitamin B12 Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vitamin D Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vitreous Degeneration,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vitreous Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vocal Cord Polyp,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Volvulus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Von Willebrand Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vulvar Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vulvar Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Vulvodynia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Wernicke Korsakoff Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
White Blood Cell Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Whooping Cough (Pertussis),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Wilson Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Yeast Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Zenker Diverticulum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
